year,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term_in_months,property_value,income,Credit_Score,Status
2019,266500,2.25,-0.4645,0,360,1088000,12600,542,0
2019,496500,2.6,-0.4887,0,360,1108000,9480,714,0
2019,246500,2.625,-0.4171,0,360,408000,4140,635,0
2019,396500,2.625,-0.3431,0,360,1418000,7680,756,0
2019,606500,2.625,-0.5236,0,360,1328000,8580,602,0
2019,556500,2.625,-0.6894,0,360,938000,12600,673,0
2019,616500,2.625,-0.319,0,360,1108000,13440,765,0
2019,616500,2.65,-0.4589,0,360,2528000,13020,506,0
2019,556500,2.675,-0.4555,0,360,1188000,16440,621,0
2019,436500,2.725,-0.5508,0,360,1318000,6660,813,0
2019,356500,2.75,-1.038,0,360,428000,6480,818,0
2019,396500,2.75,-0.5367,0,180,1558000,6720,769,0
2019,406500,2.75,-0.2295,0,360,468000,7260,788,0
2019,536500,2.75,-0.4309,0,360,1158000,7500,886,0
2019,416500,2.75,0.0158,0,360,428000,7860,887,0
2019,296500,2.75,-0.4743,0,180,458000,8100,879,0
2019,386500,2.75,-0.5757,0,180,478000,9480,869,0
2019,446500,2.75,-0.2995,0,360,2708000,10860,614,0
2019,376500,2.75,-0.4294,0,360,568000,11580,555,0
2019,626500,2.75,-0.5325,0,360,1208000,16860,810,0
2019,446500,2.75,-0.5649,0,360,1158000,16860,531,0
2019,316500,2.75,-0.4048,0,180,1778000,21660,676,0
2019,606500,2.75,-0.5417,0,360,1238000,31020,833,0
2019,516500,2.8,-0.4998,0,360,878000,9360,752,0
2019,606500,2.8,-0.4871,0,360,758000,10620,890,0
2019,316500,2.8,-0.5925,0,360,1668000,21000,565,0
2019,496500,2.85,-0.462,0,360,658000,10800,703,0
2019,696500,2.85,-0.3224,0,360,1208000,13860,704,0
2019,426500,2.85,-0.5296,0,360,6908000,26100,570,0
2019,286500,2.875,0.0734,0,360,298000,2580,884,0
2019,436500,2.875,-0.4918,0,360,1148000,4500,853,0
2019,256500,2.875,-0.3896,0,180,438000,4680,825,0
2019,306500,2.875,0.1034,0,360,318000,5040,567,0
2019,456500,2.875,0.1704,0,360,468000,6720,646,0
2019,326500,2.875,-0.8176,0,360,388000,6900,690,0
2019,456500,2.875,-0.8125,0,360,608000,7020,711,0
2019,516500,2.875,-0.4783,0,360,998000,7980,896,0
2019,496500,2.875,-0.4537,0,360,1428000,8700,536,0
2019,296500,2.875,-0.212,0,180,668000,9000,759,0
2019,476500,2.875,-0.4128,0,360,798000,10200,743,0
2019,456500,2.875,-0.9349,0,360,538000,10860,511,0
2019,616500,2.875,-0.3614,0,180,848000,10980,754,0
2019,356500,2.875,-0.346,0,180,1318000,11100,834,0
2019,486500,2.875,-0.2941,0,180,728000,11640,784,0
2019,196500,2.875,-0.4768,0,360,568000,12480,536,0
2019,476500,2.925,-0.3108,0,360,818000,8700,703,0
2019,676500,2.925,-0.4532,0,360,1278000,8760,703,0
2019,546500,2.925,-0.3159,0,360,1588000,9180,718,0
2019,396500,2.95,-0.2382,0,360,978000,12000,828,0
2019,586500,2.95,-0.4163,0,360,1048000,18540,800,0
2019,286500,2.95,-0.2386,0,360,408000,20340,718,0
2019,406500,2.975,-0.4369,0,360,728000,7020,694,0
2019,686500,2.975,-0.3323,0,360,1018000,8040,799,0
2019,446500,2.975,-0.5391,0,360,2388000,9780,772,0
2019,506500,2.975,-0.2968,0,360,1338000,10920,729,0
2019,606500,2.975,-0.2973,0,360,898000,10920,852,0
2019,676500,2.975,-0.4236,0,360,1338000,17340,681,0
2019,266500,2.975,-0.389,0,360,678000,20340,543,0
2019,726500,2.975,-0.2329,0,360,1078000,20940,523,0
2019,276500,2.99,0.2757,0,360,288000,2520,535,0
2019,236500,2.99,-0.1215,0,360,268000,4020,769,0
2019,406500,2.99,-0.0619,0,360,478000,4080,849,0
2019,356500,2.99,-0.0626,0,360,518000,4740,532,0
2019,266500,2.99,0.2898,0,360,268000,4860,743,0
2019,256500,2.99,-0.0239,0,360,488000,4860,888,0
2019,386500,2.99,0.1544,0,360,408000,4980,769,0
2019,446500,2.99,-0.7272,0,360,448000,5340,661,0
2019,276500,2.99,0.3007,0,360,278000,5700,863,0
2019,466500,2.99,0.2216,0,360,478000,5880,781,0
2019,266500,2.99,-0.0508,0,360,328000,6720,548,0
2019,386500,2.99,-0.7221,0,360,548000,6720,541,0
2019,366500,2.99,0.2125,0,360,378000,7680,606,0
2019,366500,2.99,0.1611,0,360,398000,8640,539,0
2019,446500,2.99,-0.0806,0,180,748000,8820,584,0
2019,216500,2.99,-0.1217,0,360,248000,9060,706,0
2019,436500,2.99,-0.3131,0,180,568000,9180,851,0
2019,436500,2.99,-0.0669,0,360,538000,9660,781,0
2019,406500,2.99,-0.218,0,180,998000,9840,621,0
2019,476500,2.99,-0.138,0,180,758000,10500,650,0
2019,486500,2.99,-0.798,0,300,758000,10980,641,0
2019,306500,2.99,-0.6824,0,360,418000,11340,848,0
2019,446500,2.99,-0.1992,0,180,1488000,11460,750,0
2019,456500,2.99,-0.1849,0,180,998000,11520,569,0
2019,386500,2.99,-0.688,0,144,668000,11820,509,0
2019,436500,2.99,-0.1932,0,180,958000,12780,641,0
2019,466500,2.99,-0.8177,0,360,618000,13620,889,0
2019,336500,2.99,-0.6375,0,360,538000,14700,644,0
2019,456500,2.99,-0.2627,0,180,768000,14820,867,0
2019,446500,2.99,-0.201,0,180,598000,15720,742,0
2019,396500,2.99,-0.2609,0,180,908000,16140,826,0
2019,486500,2.99,-0.289,0,180,1808000,16260,747,0
2019,476500,2.99,-0.2132,0,180,798000,18000,775,0
2019,486500,2.99,-0.2758,0,180,998000,21420,728,0
2019,486500,2.99,-0.2705,0,180,908000,30060,838,0
2019,216500,3,-0.7677,0,360,478000,2100,609,0
2019,306500,3,0.2432,0,360,318000,2700,771,0
2019,306500,3,0.3283,0,360,318000,3000,804,0
2019,306500,3,-0.518,0,360,448000,3180,646,0
2019,306500,3,0.3811,0,360,318000,3360,541,0
2019,286500,3,0.079,0,360,328000,3900,646,0
2019,326500,3,0.0297,0,360,368000,4080,767,0
2019,426500,3,0.3727,0,360,438000,4200,622,0
2019,266500,3,-0.3562,0,360,378000,4320,751,0
2019,326500,3,-0.085,0,180,1008000,5280,899,0
2019,466500,3,-0.5952,0,360,568000,5760,809,0
2019,386500,3,-0.1792,0,180,628000,5880,555,0
2019,396500,3,-0.6859,0,360,448000,6480,813,0
2019,386500,3,-0.2033,0,180,1008000,6780,585,0
2019,386500,3,-0.1185,0,180,628000,6840,531,0
2019,306500,3,-0.7875,0,360,338000,7080,840,0
2019,336500,3,-0.111,0,180,608000,7140,555,0
2019,346500,3,-0.7614,0,360,658000,7140,804,0
2019,426500,3,0.4235,0,360,438000,7200,723,0
2019,476500,3,-0.5194,0,360,608000,7200,857,0
2019,276500,3,-0.4278,0,360,698000,7440,545,0
2019,386500,3,0.0559,0,360,568000,8100,802,0
2019,506500,3,-0.2076,0,180,758000,8220,679,0
2019,356500,3,-0.601,0,360,858000,8220,609,0
2019,486500,3,-0.2377,0,180,998000,10740,707,0
2019,586500,3,-0.6305,0,360,858000,10980,622,0
2019,476500,3,-0.5837,0,360,578000,11280,526,0
2019,486500,3,-0.2003,0,180,1558000,11760,727,0
2019,776500,3,-0.4092,0,360,1598000,11820,891,0
2019,486500,3,-0.4267,0,360,818000,11940,803,0
2019,486500,3,-0.2038,0,180,998000,12060,875,0
2019,286500,3,-0.3606,0,360,1678000,12540,791,0
2019,656500,3,-0.2403,0,180,998000,12600,535,0
2019,396500,3,-0.1498,0,180,568000,13560,817,0
2019,486500,3,-0.2064,0,180,998000,13920,596,0
2019,1026500,3,-0.524,0,360,1808000,14640,829,0
2019,226500,3,-0.3614,0,360,658000,15060,503,0
2019,746500,3,-0.522,0,360,1658000,16320,654,0
2019,1116500,3,-0.6996,0,360,3008000,16920,751,0
2019,826500,3,-0.597,0,360,1118000,18420,814,0
2019,796500,3,-0.5345,0,360,2508000,19800,730,0
2019,306500,3,-0.2364,0,180,1328000,20280,576,0
2019,646500,3,-0.3981,0,360,1278000,20400,845,0
2019,476500,3,-0.1656,0,180,1908000,21660,774,0
2019,426500,3,-0.2175,0,180,998000,23580,584,0
2019,1406500,3,-0.6351,0,360,2108000,24240,762,0
2019,396500,3,-0.1519,0,180,1208000,25980,580,0
2019,586500,3,-0.4081,0,360,1178000,28560,573,0
2019,716500,3,-0.7044,0,360,958000,30360,517,0
2019,416500,3,-0.201,0,180,878000,31620,841,0
2019,676500,3,-0.3848,0,360,1418000,48120,839,0
2019,676500,3.025,-0.4339,0,360,1368000,9900,510,0
2019,516500,3.05,-0.2769,0,360,1418000,13200,757,0
2019,246500,3.075,-0.2748,0,360,1408000,7380,589,0
2019,506500,3.075,-0.5498,0,360,1158000,9300,547,0
2019,406500,3.075,-0.3773,0,360,1228000,16080,711,0
2019,386500,3.1,-0.3478,0,360,488000,10620,704,0
2019,356500,3.1,-0.275,0,360,2298000,12000,719,0
2019,286500,3.1,-0.3476,0,360,458000,22020,604,0
2019,206500,3.125,0.387,0,360,208000,2040,814,0
2019,356500,3.125,-0.6241,0,360,448000,2280,705,0
2019,246500,3.125,0.5292,0,360,258000,2400,778,0
2019,236500,3.125,0.5907,0,360,248000,2460,575,0
2019,206500,3.125,0.4902,0,360,218000,2520,620,0
2019,206500,3.125,-0.313,0,360,458000,2760,896,0
2019,316500,3.125,-0.3211,0,360,468000,2940,648,0
2019,316500,3.125,0.6369,0,360,328000,3120,549,0
2019,256500,3.125,0.3588,0,360,268000,3120,656,0
2019,256500,3.125,-0.0039,0,360,348000,3300,571,0
2019,306500,3.125,0.3204,0,360,328000,3480,661,0
2019,336500,3.125,-0.5869,0,360,378000,3480,683,0
2019,296500,3.125,0.1287,0,360,348000,3540,792,0
